id,titulo,slug,scoreMeni,aprobadoMeni,nivel,nivelScore,profile,category,palabras
IFFjvOi1HTG0oeiIuIBo,"Costa Rica detiene a palestino con vínculos a Hamás",costa-rica-detiene-a-palestino-con-vinculos-a-hamas,88,false,RECHAZADO,88,REPORTAJE,Internacionales,455
Ilzcy77tyF8oFNPytokN,"Campeonato de 1/4 de Milla: Adrenalina y técnica en Managua",campeonato-de-1-4-de-milla-adrenalina-y-tecnica-en-managua,74,false,RECHAZADO,74,REPORTAJE,Deportes,409
JbGRXcj7AiJNPvQRcneT,"Capturan a autores de doble crimen en San Ramón, Matagalpa",capturan-a-autores-de-doble-crimen-en-san-ramon-matagalpa,84,false,RECHAZADO,84,REPORTAJE,Sucesos,523
Q19zidw5UoSjUlR1r9JP,"Nicaragua abastece el 47% de lácteos que consume El Salvador",nicaragua-abastece-el-47-de-lacteos-que-consume-el-salvador,88,false,RECHAZADO,88,REPORTAJE,Nacionales,484
SD09P4KU8vq4Mq1Vidzz,"Capturan a sujeto por robo de US$30 mil en Jalapa",capturan-a-senalado-por-robo-de-mas-de-us-30-mil-en-jalapa,78,false,RECHAZADO,78,INVESTIGACION,Sucesos,744
SG87LjFIgCWnd6g8EKDq,"Nicaragua invertirá $13.9 millones en 49 camiones de bombero",nicaragua-invertira-13-9-millones-en-49-camiones-de-bomberos,76,false,RECHAZADO,76,REPORTAJE,Nacionales,545
VW3uBFbDCb6RR3KCiJ18,"España, Francia y Argentina son favoritas al Mundial 2026",espana-francia-y-argentina-llegan-como-favoritas-al-mundial-2026,74,false,RECHAZADO,74,INVESTIGACION,Deportes,743
ZJpLrlTrusn5Jex8WQgQ,"Después de años prófugo, captura de El Diablo abre interrogante",despues-de-anos-profugo-captura-de-el-diablo-abre-interrogante,78,false,RECHAZADO,78,REPORTAJE,Internacionales,435
qAcmF4MWTiLsTACCG8v5,"Agresión a mujer en Nindirí activa investigación bajo la Ley 779",agresion-a-mujer-en-nindiri-activa-investigacion-bajo-la-ley-779,78,false,RECHAZADO,78,REPORTAJE,Sucesos,527
e2xuC463KZm7pAubu9Rl,"Nicaragua conquista el IHF Trophy de Balonmano en C.A",nicaragua-domina-el-ihf-trophy-de-balonmano-en-centroamerica,88,false,RECHAZADO,88,REPORTAJE,Deportes,602
hscMxXK16XKKq84yY1P6,"Accidentes en Nicaragua dejan un fallecido y varios heridos",accidentes-en-nicaragua-dejan-un-fallecido-y-varios-heridos,86,false,RECHAZADO,86,REPORTAJE,Sucesos,418
vvWJAwyV8adECw3IGqdy,"Netflix, Max y Disney+ dominan streaming en Nicaragua",streaming-en-nicaragua-jovenes-dominan-plataformas-digitales,88,false,RECHAZADO,88,REPORTAJE,Tecnología,649
kR3waCnxVDfMfVCV8sAH,"Nicaragua gana oro en relevos mixtos 4x100 en Managua",nicaragua-gana-oro-en-relevos-mixtos-4x100-en-managua,88,false,RECHAZADO,88,REPORTAJE,Deportes,618
qT9tAbCyVpicX7HmoaD0,"Nueva Guinea busca respuestas por muerte de joven de 18 años",nueva-guinea-busca-respuestas-por-muerte-de-joven-de-18-anos,80,false,RECHAZADO,80,REPORTAJE,Sucesos,473
tYX2ZtXwUXg07CHI0ONj,"Fiscalía acusa a madre y padrastro por muerte de niño",fiscalia-acusa-a-madre-y-padrastro-por-muerte-de-nino,74,false,RECHAZADO,74,REPORTAJE,Sucesos,467
tlIXmTYnv4hIajXOQiup,"Nicaragüense resulta afectado en ataque en Canóvanas, Puerto Rico",nicaraguense-muere-en-ataque-en-canovanas-puerto-rico,82,false,RECHAZADO,82,REPORTAJE,Internacionales,470
tnX05ykqVT6WiYVflSii,"Beisbol infantil: Nicaragua viaja a Puerto Rico y Ecuador",beisbol-infantil-nicaragua-viaja-a-puerto-rico-y,74,false,RECHAZADO,74,REPORTAJE,Deportes,629
uJ076MyMZhQIJYTa1qOW,"Nicaragüense José Salgado resulta afectado en asalto en Austin",nicaraguense-jose-salgado-muere-en-asalto-en-austin,76,false,RECHAZADO,76,REPORTAJE,Internacionales,402
wiHS5gvNy7U6tORXAhEU,"Colapso en construcción cobra vida de nicaragüense en EE. UU",colapso-en-construccion-cobra-vida-de-nicaraguense-en-ee-uu,80,false,RECHAZADO,80,REPORTAJE,Internacionales,404
yUMAJwJQ1yMJTSb2cdkP,"México, Brasil y Argentina avanzan en el Mundial 2026",mexico-brasil-y-argentina-avanzan-en-el-mundial-2026,86,false,RECHAZADO,86,REPORTAJE,Deportes,546
zkdDsejAb5hLCpCaEbMR,"Nuevo complejo en Masaya reúne Bomberos y Migración",nuevo-complejo-en-masaya-reune-bomberos-y-migracion,64,false,RECHAZADO,64,REPORTAJE,Nacionales,403
